2	866827	867136	1491	2	0
2	3522346	3523514	1507	0	4
2	8168180	8168473	1525	1	0
2	8816694	8817190	1527	0	2
2	8977468	8977777	1529	0	7
2	10443956	10444493	1544	0	9
2	10952550	10953040	1551	0	6
2	11101188	11101760	1553	5	1
2	11606368	11606765	1557	0	4
2	11809804	11810293	1561	0	7
2	24233819	24234075	1593	3	0
2	24299145	24299619	1595	0	1
2	26101134	26101613	1610	0	9
2	26407272	26407880	1614	0	2
2	26987179	26987249	1623	0	4
2	27485827	27486168	1633	0	5
2	27664951	27665649	1643	2	0
2	29033370	29034132	1653	0	2
2	31805530	31806172	1662	1	5
2	39102677	39103111	1675	0	7
2	39103127	39103497	1676	0	2
2	39186913	39187887	1677	0	5
2	43454447	43455096	1687	0	5
2	45162068	45163222	1696	0	2
2	45171439	45171847	1698	0	5
2	45878555	45878806	1705	0	3
2	46524399	46525089	1708	0	5
2	48757251	48757878	1723	0	6
2	58478696	58478846	1747	4	1
2	63277492	63277751	1757	0	7
2	65282998	65283349	1768	0	11
2	69001774	69002217	1780	0	2
2	71126745	71127136	1803	0	3
2	73147312	73148178	1818	0	3
2	74669103	74669432	1834	0	3
2	74725107	74725528	1838	0	1
2	74730352	74730825	1840	0	6
2	74741563	74742142	1842	0	2
2	84686045	84686441	1854	0	5
2	87088751	87088999	1875	0	8
2	96874775	96874883	1888	0	3
2	101436404	101436827	1926	0	11
2	103236043	103236277	1930	0	6
2	111435389	111435722	1957	0	2
2	121279951	121280157	1990	0	3
2	128989695	128991317	2018	0	3
2	129075075	129075776	2019	0	4
2	129250529	129251204	2022	0	4
2	131099819	131100092	2032	0	5
2	145090060	145090623	2053	0	2
2	153574832	153575188	2064	0	7
2	170219995	170220468	2091	0	4
2	170590198	170590652	2093	0	7
2	172379614	172380043	2104	0	5
2	172965205	172965984	2110	0	4
2	175546979	175547436	2122	0	7
2	176971248	176972132	2131	1	8
2	176973180	176973774	2132	0	5
2	176980871	176981375	2133	0	2
2	177054020	177054873	2145	0	2
2	179315251	179315622	2157	0	18
2	183473056	183473431	2165	4	0
2	183902589	183903241	2167	0	8
2	190445784	190446124	2179	0	7
2	198570559	198570928	2196	0	2
2	200333703	200334583	2201	1	2
2	201171304	201171596	2205	0	3
2	208394480	208395148	2230	0	3
2	213403058	213403666	2242	0	2
2	213403684	213404088	2243	0	3
2	220109996	220110583	2281	0	5
2	220299549	220300224	2285	0	1
